Mes, País, %% de vuelos
Enero, Emiratos Árabes, 40.0
Enero, Tailandia, 40.0
Enero, Otro, 20.0
Febrero, Tailandia, 50.0
Febrero, Alemania, 50.0
Diciembre, Alemania, 25.0
Diciembre, Tailandia, 50.0
Diciembre, Singapur, 25.0
Noviembre, Emiratos Árabes, 33.33333333333333
Noviembre, Alemania, 33.33333333333333
Noviembre, Tailandia, 33.33333333333333
Junio, Tailandia, 50.0
Junio, Indonesia, 50.0
Octubre, Otro, 42.857142857142854
Julio, Tailandia, 50.0
Julio, Japón, 25.0
Julio, México, 25.0
Septiembre, Emiratos Árabes, 50.0
Septiembre, México, 50.0
Marzo, Otro, 50.0
Marzo, México, 50.0
